Andaman and Nicobar,VL,VL,L,6.5
Andhra Pradesh,L,VH,M,6.5
Arunachal Pradesh,H,M,M,6.5
Assam,M,L,VL,6.5
Bihar,VL,VH,H,6.5
Goa,M,VL,M,6.5
Gujarat,VL,VH,H,6.5
Haryana,VL,M,H,6.5
Himachal Pradesh,M,M,H,6.5
Jammu and Kashmir,M,M,M,6.5
Jharkhand,L,M,M,6.5
Kerala,VL,VH,M,6.5
Madhya Pradesh,VL,M,H,6.5
Maharashtra,VL,M,H,6.5
Manipur,VL,VH,L,6.5
Meghalya,L,M,M,6.5
Mizoram,M,M,M,6.5
Nagaland,M,VL,H,6.5
Odisha,VL,M,M,6.5
Puduchery,VL,VL,M,6.5
Punjab,M,M,H,6.5
Rajasthan,VL,M,H,6.5
Sikkim,M,M,M,6.5
Tamilnadu,L,VH,H,6.5
Tripura,L,M,L,6.5
Uttar Pradesh,VL,M,H,6.5
Uttarkhand,L,M,M,6.5
West Bengal,M,VH,M,6.5
Chattisgarh,L,M,L,6.5
Telanagana,L,VH,H,6.5
Karnataka,L,VH,M,6.5
